sitename,Country or Area Name,Full Address,Latitude,Longitude,locationId,sensorId,country,sensorType,displayName,sensor_name,sensor_unit,lastUpdated,PROJECT_NAME,Air Quality Monitor,IDXi,IDXj,SRadius,MERRALat,MERRALon,agencyname,stationid,New Station,Parameter,Value,utcoff
Beograd_5,Serbia,Beograd VinÄa,44.766649,20.61098,784149.0,4275667,RS,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,540,643,,44.766649,20.61098,,100127,,,,
Beograd TopÄiderska Zvezda,Serbia,Beograd TopÄiderska Zvezda,44.788646,20.444507,784148.0,4276099,RS,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,540,642,,44.788646,20.444507,,100128,,,,
TarnÃ³w,Poland,"TarnÃ³w, ul. Ks. Romana Sitko",50.018253,20.992578,10729.0,36516,PL,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,561,644,,50.018253,20.992578,,100129,,,,
Beograd_6,Serbia,Beograd SurÄin,44.7924,20.272734,784147.0,4275897,RS,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,540,642,,44.7924,20.272734,,100130,,,,
Beograd_7,Serbia,Beograd StojÄino Brdo,44.776953,20.535435,784146.0,4276051,RS,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,540,643,,44.776953,20.535435,,100131,,,,
Beograd_8,Serbia,Beograd Sopot,44.519807,20.578488,784145.0,4275999,RS,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,539,643,,44.519807,20.578488,,100132,,,,
Olsztyn,Poland," Olsztyn, ul. Puszkina",53.789233,20.486075,10743.0,35836,PL,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,576,643,,53.789233,20.486075,,100133,,,,
Beograd_9,Serbia,Beograd OvÄa,44.884112,20.527552,784144.0,4275907,RS,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,541,643,,44.884112,20.527552,,100134,,,,
Beograd_10,Serbia,Beograd Oml. brigada ,44.805925,20.398811,784143.0,4275942,RS,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,540,642,,44.805925,20.398811,,100135,,,,
JarosÅ‚aw,Poland,"JarosÅ‚aw, ul. Pruchnicka",50.012083,22.674772,10627.0,35322,PL,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,561,650,,50.012083,22.674772,,100136,,,,
Beograd Obrenovac UÅ¡Ä‡e,Serbia,Beograd Obrenovac UÅ¡Ä‡e,44.629741,20.011135,784142.0,4276214,RS,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,540,641,,44.629741,20.011135,,100137,,,,
Warszawa,Poland,"Warszawa, ul. Bajkowa",52.188474,21.176233,10750.0,35863,PL,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,570,645,,52.188474,21.176233,,100139,,,,
Obrenovac,Serbia,Beograd Obrenovac,44.66999958,20.19733161,784141.0,5123814,RS,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,540,642,,44.66999958,20.19733161,,100140,,,,
Beograd-Mladenovac,Serbia,Beograd Mladenovac,44.444047,20.696033,784140.0,4276075,RS,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,539,643,,44.444047,20.696033,,100141,,,,
Beograd-LeÅ¡tane,Serbia,Beograd LeÅ¡tane,44.728534,20.580721,784139.0,4275793,RS,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,540,643,,44.728534,20.580721,,100142,,,,
